
0.000,1.978,0
0.017,1.970,-0.436
0.033,1.963,-0.872
0.050,1.941,-1.090
0.067,1.927,-0.654
0.083,1.919,-0.654
0.100,1.905,-0.872
0.117,1.890,-0.872
0.133,1.876,-0.872
0.150,1.861,-0.872
0.167,1.847,-1.526
0.183,1.811,-1.961
0.200,1.781,-1.526
0.217,1.760,-2.397
0.233,1.702,-2.397
0.250,1.680,-1.308
0.267,1.658,-1.308
0.283,1.636,-1.526
0.300,1.607,-1.526
0.317,1.585,-1.961
0.333,1.542,-2.833
0.350,1.491,-2.397
0.367,1.462,-1.961
0.383,1.425,-1.961
0.400,1.396,-1.961
0.417,1.360,-3.051
0.433,1.295,-3.051
0.450,1.258,-2.179
0.467,1.222,-2.397
0.483,1.178,-2.615
0.500,1.135,-2.833
0.517,1.084,-2.615
0.533,1.048,-2.615
0.550,0.997,-3.269
0.567,0.939,-2.833
0.583,0.902,-1.961
0.600,0.873,-1.961
0.617,0.837,-2.179
0.633,0.801,-2.397
0.650,0.757,-3.269
0.667,0.692,-3.269
0.683,0.648,-2.397
0.700,0.612,-2.615
0.717,0.561,-3.269
0.733,0.503,-3.705
0.750,0.437,-3.051
0.767,0.401,-2.179
0.783,0.365,-2.833
0.800,0.307,-3.923
0.817,0.234,-3.705
0.833,0.183,-3.923
0.850,0.103,-3.269
0.867,7.425E-2,-2.615
0.883,1.613E-2,-4

